address_deltas,pc_deltas
156424,-8
-156360,72
64,64
64,64
-1261672,35936
1261736,-35872
157336,36331
-656,20
1112,79669
-380,-79617
184,397
-116,16
32,-306
-120392,610
-37056,-37056
163000,-128
-5768,14
-157168,178
64,64
1024,1041
64,47
576,576
64,79
64,49
-1728,-1728
64,84
64,44
64,64
64,64
156224,-70
-156160,134
64,64
156232,-98
208,56
-156376,106
64,64
156080,-64
-156016,128
156096,-80
-156032,144
156096,-86
-156032,150
64,64
64,64
156664,35050
-156600,-34986
96832,96848
64,48
64,64
64,104
64,24
62696,-16
-55272,7456
64,48
64,64
-7488,-7488
62834,-56
-62770,120
-96128,-96102
64,38
19968,19968
64,64
27520,27552
64,32
111312,-5
-111248,69
111216,-47
-111152,111
64,64
512,512
64,64
-384,-370
64,50
64,64
128,128
192,192
-28352,-28352
126592,-69
-126528,133
64,64
135296,-101
64,33
-135296,132
93824,93856
64,32
128,136
128,120
-94080,-94080
95415,-76
-95351,140
135248,-135
-41424,93959
1554,-93964
39950,5
80,0
16,20
-135360,179
132112,-129
-132048,193
192,248
64,8
64,64
-256,-256
104608,-104
-125152,-20440
53504,53552
64,16
64,72
64,56
64,64
-53696,-53696
-15500,-18
15564,82
64,64
64,64
-15344,-117
15408,181
151688,-118
-48,18
-151576,164
61504,61504
64,64
90368,-55
-90304,119
-61568,-61568
64,64
64,64
102208,102240
64,32
64,64
-99072,-99017
64,9
64,64
51264,51312
64,16
64,64
47040,47088
64,16
64,64
64,64
64,64
-47232,-47232
64,64
-51456,-51456
-3392,-3392
42240,42256
64,48
64,64
64,64
2880,2896
64,48
-2880,-2880
64,64
64,64
2048,2056
64,56
-2048,-2048
64,64
128,155
64,37
-128,-128
68224,68240
64,48
-1373031,-13
1373095,77
-13632,-13616
64,48
60232,-33
-60168,97
60152,-44
-54968,5228
64,64
-5184,-5184
-55808,-55776
64,32
64,64
-21824,-21824
64,64
137464,-55
-960,11
-136440,108
129760,-94
-129696,158
34880,34880
64,64
53376,53376
-53312,-53312
-34944,-34944
87808,87824
64,48
64,64
64,64
-1373099,-88147
1285163,211
64,64
136192,-79
79,17
-45647,90686
-90240,-90224
64,48
64,64
1152,1154
64,62
64,76
64,52
64,64
64,64
-704,-675
64,35
64,64
64,64
768,808
64,24
-1728,-1728
384,409
64,39
64,64
60544,60576
64,32
74424,-17
-74360,81
69624,-63
-69560,127
576,592
64,48
73560,-29
-32,-28396
-160,26
-54808,47007
54776,131
-54712,-115
54800,-46993
-54096,47697
64,64
64,64
64,64
-256,-240
-19200,-19216
80960,-48
-80896,112
85528,-10
-85464,74
1792,1827
64,29
-2624,-2624
63261,21050
-63197,-20986
64,64
90732,-69
-90668,133
-704,-656
64,16
106890,-13
-106826,77
64,64
88876,437
12418,-578
-13570,578
10882,-578
-11458,578
9944,-578
-9656,578
10510,-578
-10366,578
10698,-578
-10770,578
10602,-578
2,40
-97536,677
64,64
64,64
1216,1264
64,16
64,64
-640,-640
64,64
64,64
64,64
28032,28032
-27968,-27968
29312,29312
64,64
-9792,-9776
9856,9840
41920,-112
-71296,-29264
-62144,-62144
-14400,-14400
64,64
64,64
64,64
94528,94528
-94464,-94464
123936,-91
-123296,787
64,8
106656,-8
-106592,72
-704,-704
64,64
149214,-11
-149150,75
64,64
149128,-29
-149064,93
149120,-93
80,-7
48,17
-149184,147
149416,-80
-149352,144
384,400
64,48
64,88
64,40
148608,-804
88,7
-149208,323
64,26
13632,13632
-576,-576
64,64
-640,-633
64,57
-10240,-10240
64,64
64,64
64,64
64,64
140424,-74
-140360,138
64,64
64,64
145376,22250
-40,62533
-64,6709
48880,-69133
672,20
463,79700
-31,-79658
-356,30
184,397
-116,16
40,-291
-93056,79427
93376,228
-195264,-102164
194728,-64
-194664,128
64,64
64,64
64,64
64,64
64,64
64,64
144560,-46
16,19
-144512,91
64,64
144512,-137
-144448,201
64,64
194408,-146
-194344,210
49216,49216
64,64
-49216,-49216
64,64
144056,90532
-143992,-90468
320,320
64,64
64,64
-384,-384
448,448
-384,-384
64,64
64,64
3955928,101295
1112,8
-1072,17
64,34
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
-3956608,-101002
64,32
64,64
3943592,-57
-3943528,121
64,64
192328,-111
3751168,8
-3751064,-8
3751128,8
-3751040,-8
3751104,8
-3942792,995
64,4
64,64
3942728,-1063
64,0
-3751272,-8
3751336,8
-3751200,-8
-192552,175
3943816,-167
-3751168,-8
-72,0
-192512,271
64,32
64,64
64,64
64,64
64,64
1152,1168
64,48
-1152,-1152
64,64
64,64
64,64
200296,19360
-200232,-19296
7232,7232
21312,21312
55680,55680
60280,-54965
-115064,181
-1304620,68083
1364588,-8115
4352,4368
64,48
64,64
64,64
540000,-3974
-625376,-81402
832,832
149228,59637
14040,-578
-13464,578
14824,-578
-15112,578
14414,-578
-14270,578
14670,-578
-14742,578
14566,-578
80,0
-104266,909
1344,1344
-320,-320
-62592,-62592
-512,-512
185496,12439
672,20
458,79700
-26,-79658
-356,30
184,397
-116,16
-128,-377
7575944,80202
-960,-101018
-7575536,74
7575584,8
-7575496,-8
16,0
7575544,8
-7575728,-8
-192592,1135
7768384,-1127
64,0
64,0
-7575656,-8
7575720,8
64,0
-7575688,-8
528,456
-192776,1383
192840,-1209
3778824,19545
-3828184,9871
-1419494,68356
1419174,-90865
-51000,86478
64,48
64,64
64,64
3922015,-3334
-3853235,-20933
19040,-578
-20192,578
17258,-578
-17834,578
16446,-578
-16158,578
16864,-578
-16720,578
17082,-578
-17010,578
17174,-578
-110,0
16052,31133
-198848,-104464
198920,24599
672,20
462,79700
-386,-79628
184,397
-116,16
32,-306
296,79663
-72,-101480
9777984,101834
8,0
672,8
-48,33
-560,18
64,0
64,0
64,0
64,0
64,0
64,0
64,0
-1440,-100963
-9778000,74
9778032,8
-9777944,-8
9778008,8
-9777984,-8
376,1052
-560,-1052
9778232,8
64,0
64,0
-9778104,-8
9778168,8
-9778072,-8
9778136,8
-9777544,622
7578616,19545
-9048688,78280
1419064,-90914
-51064,86330
7688153,-3014
-7619629,-20933
17982,-578
-17694,578
18390,-578
-18534,578
18148,-578
-52,0
-18092,1642
18176,27990
15424,1319
-51392,-105031
52120,25368
-656,20
1114,79680
-382,-79628
184,397
-116,16
32,-306
312,79484
-520,-102042
9784840,466
64,19
-9784520,137
8,17
9784440,66
-9933240,49471
14088864,52399
1936,8
-1904,17
64,34
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
-9216,-100963
-13933568,74
-16,0
104,0
13933544,8
64,0
64,0
64,0
-13933640,-8
13933704,8
-13933608,-8
13933672,8
-13933744,-8
9785960,20175
8,8
-9952000,10368
64,24
64,87
64,41
1408,1436
64,36
64,64
1088,1131
64,21
-2624,-2624
604009,67635
-591977,-55603
52160,52176
64,48
64,64
64,64
-832,-816
64,48
64,64
64,64
768,784
64,48
64,64
64,64
9076,-4511
-12468,1135
64,48
64,64
64,64
64,64
6272,6272
64,112
64,16
64,64
-7040,-7024
64,48
64,64
64,64
448,448
64,64
104960,8013
-163968,-67021
-2624,-2624
62528,62544
64,48
64,64
64,64
3922688,4958
-3923200,-5454
64,48
64,64
64,64
104256,7063
64,0
9880346,-1892
38,78
-9880320,1814
-165888,-68519
64,16
106256,-16
-106192,80
448,448
-1408,-1408
1024,1024
-960,-960
64,64
166664,-105
-166600,169
128,188
64,4
64,64
64,64
37184,37184
64,64
76216,-60
-76152,124
64,64
64,64
64,64
128,176
64,16
64,64
-192,-192
256,256
-37760,-37760
64,64
-1308928,-72
1264768,-44088
64,64
64,64
2752,2797
64,19
64,64
64,64
768,800
64,32
-3712,-3712
158340,-67
-60740,97667
-106240,-106208
66176,66160
64,48
64,64
-2048,-2032
64,48
64,64
64,64
-1316576,-61
1316640,125
64,64
64,64
64,64
7738888,-24
-7738824,88
128,160
64,32
-1317431,46966
1317495,-46902
-192,-136
256,200
-1317180,-680
5291588,272
56,45
72,0
72,0
52,-15
64,-10
-2435,47230
-5289405,-47386
1919740,136
64,20
64,25
72,0
72,0
52,-15
64,-10
64,25
72,0
52,-15
64,-10
64,25
72,0
72,0
52,-15
64,-10
64,0
64,25
72,0
52,-15
64,-10
-12580,47230
-115,0
-1908713,3909
1368384,129
-1367932,-51424
11355948,136
16,30
76,15
52,-15
64,-10
-5120,51454
-9982784,134
9987968,-51563
72,0
72,0
52,-15
64,-10
64,25
-5405,47205
-11351075,-47386
1366588,50144
-49280,-49278
64,62
64,64
64,64
64,64
64,64
64,64
153324,-63
-153260,127
153116,-127
72,0
-108,13
-60,-13
-152508,639
602784,-1981
-12671,47539
12707,-47518
-674540,272
44,30
118908,48890
64,64
-119104,-65
119168,129
7689920,-49003
72,0
72,0
52,-15
-669,47220
-7690983,262
544320,-75
-544256,139
556996,-47712
64,0
9435336,181
52,-15
-5485,47220
-9442643,1349
12804,-48735
-555012,49824
554692,-48893
-448664,254
24,0
-96,0
-120,0
72,0
-120,0
-154236,191
64,64
153208,-152
8,6
64,-6
72,0
56,6
64,-6
72,0
56,6
64,-6
72,0
56,6
64,-6
72,0
56,6
64,-6
-225276,-1122
4045120,-302
-3926084,49400
64,48
64,64
64,64
64,64
9990720,-49348
64,25
72,0
72,0
-5680,47205
-9878468,-46201
-36,13
-256,90
8,6
64,-6
72,0
7583368,-1445
-823,47539
-7687577,3722
7688256,-50173
72,0
-7582756,254
-316,103
24,0
72,0
56,6
64,-6
9883904,-1317
4072436,1214
-700,103
8,6
64,-6
72,0
56,6
64,-6
72,0
56,6
64,-6
72,0
56,6
184,-6
8,6
64,-6
-14071296,40472
-97600,-97600
-12544,-12544
64,64
160112,-65
-160048,129
64,64
166712,-109
-1419024,0
1325784,73581
64,64
64,64
64,64
14107656,-134
-14107592,198
-73664,-73664
73792,73808
64,48
64,64
64,64
14110144,-100
2296,7
-2232,27
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
128,3
-14112384,127
14112448,-95
-14174144,-61601
152424,-48
-152360,112
1280,1328
64,16
64,64
-960,-960
64,64
64,64
64,112
64,16
64,64
33664,33680
64,48
64,64
64,64
64,64
3200,3232
64,32
14105352,-24
-14105288,88
64,64
1856,1912
64,8
64,64
-4352,-4320
64,32
-1024,-1024
64,64
64,64
64,64
64,64
173960,-31
-171592,2423
64,40
64,64
14090976,-74
-4032216,9
-10058696,129
10058752,-152
4032192,14
-4032128,9
72,0
56,-23
4032064,14
-4032000,9
72,0
56,-23
4031936,14
-4031872,9
72,0
56,-23
4031808,14
-4031744,9
72,0
56,-23
4031680,14
-4031616,9
72,0
4031608,-9
-4031552,-14
64,23
72,0
4031480,-9
-4031424,-14
64,23
4031472,-9
-4031400,9
4031416,-9
-4031360,-14
64,23
72,0
4031288,-9
-4031232,-14
64,23
72,0
4031208,-9
-4031152,-14
4031168,14
-4031104,9
72,0
56,-23
4031040,14
-4030976,9
72,0
56,-23
4030912,14
-4030848,9
4030912,-9
-4030840,9
56,-23
64,23
4030784,-9
-4030712,9
56,-23
64,23
4030656,-9
-4030584,9
4030648,-9
-4030592,-14
64,23
72,0
4030520,-9
-4030464,-14
64,23
72,0
4030392,-9
-4030336,-14
4030400,14
-4030336,9
72,0
56,-23
4030272,14
-4030208,9
72,0
56,-23
4030144,14
-4030080,9
4030144,-9
-4030072,9
56,-23
64,23
4030016,-9
-4029944,9
56,-23
64,23
4029888,-9
-4029816,9
4029880,-9
-4029824,-14
64,23
72,0
4029752,-9
-4029696,-14
64,23
72,0
4029624,-9
-4029568,-14
4029632,14
-4029568,9
72,0
56,-23
4029504,14
-4029440,9
72,0
56,-23
4029376,14
-4029312,9
4029376,-9
-4029304,9
56,-23
64,23
4029248,-9
-4029176,9
56,-23
64,23
4029120,-9
-4029048,9
56,-23
4029056,14
-4028992,9
72,0
56,-23
4028928,14
-4028864,9
72,0
56,-23
4028800,14
-4028736,9
4028800,-9
-4028728,9
56,-23
64,23
4028672,-9
-4028600,9
56,-23
64,23
4028544,-9
88,0
-4028560,9
4028712,-9
-4028656,-14
4028672,14
-4028608,9
72,0
56,-23
4028544,14
-4028480,9
72,0
56,-23
4028416,14
-4028352,9
4028416,-9
-4028344,9
56,-23
64,23
4028288,-9
-4028216,9
56,-23
64,23
4028160,-9
-4028088,9
4028152,-9
-4028096,-14
64,23
72,0
4028024,-9
-4027968,-14
64,23
72,0
4027896,-9
-4027840,-14
4027904,14
-4027840,9
72,0
56,-23
4027776,14
-4027712,9
72,0
56,-23
4027648,14
-4027584,9
4027648,-9
-4027576,9
56,-23
64,23
4027520,-9
-4027448,9
56,-23
64,23
4027392,-9
-4027320,9
4027384,-9
-4027328,-14
64,23
4027328,-9
-4027256,9
56,-23
4027264,14
-4027200,9
4027264,-9
-4027192,9
4027272,-9
-4027216,-14
64,23
4027200,-9
-4027128,9
56,-23
4027136,14
-4027072,9
72,0
56,-23
4027008,14
-4026944,9
72,0
56,-23
4026880,14
-4026816,9
72,0
56,-23
4026752,14
-4026688,9
4026800,-9
16,0
-4026744,9
56,-23
4026752,14
-4026688,9
72,0
56,-23
4026624,14
-4026560,9
72,0
4026552,-9
64,0
-4026560,-14
64,23
4026560,-9
64,0
-4026552,9
56,-23
64,23
4026496,-9
-4026424,9
56,-23
64,23
4026368,-9
-4026296,9
56,-23
64,23
4026240,-9
-4026168,9
56,-23
64,23
4026112,-9
-4026040,9
56,-23
64,23
4026000,-9
48,0
-4025976,9
4026040,-9
-4025984,-14
4026048,14
-4025984,9
4026048,-9
-4025976,9
56,-23
64,23
4025920,-9
-4025848,9
56,-23
64,23
4025792,-9
-4025720,9
56,-23
64,23
4025664,-9
-4025592,9
56,-23
64,23
4025536,-9
-4025464,9
56,-23
64,23
4025408,-9
-4025336,9
56,-23
64,23
4025280,-9
-4025208,9
56,-23
4025216,14
-4025152,9
72,0
56,-23
4025088,14
-4025024,9
72,0
56,-23
4024960,14
-4024896,9
72,0
56,-23
4024832,14
-4024768,9
72,0
56,-23
4024704,14
-4024640,9
72,0
56,-23
4024576,14
-4024512,9
72,0
56,-23
4024448,14
-4024384,9
72,0
56,-23
4024320,14
-4024256,9
72,0
56,-23
4024192,14
-4024128,9
72,0
56,-23
4024064,14
-4024000,9
72,0
56,-23
4023936,14
-4023872,9
72,0
56,-23
4023808,14
-4023744,9
72,0
56,-23
4023680,14
-4023616,9
72,0
56,-23
4023552,14
80,0
-4023568,9
4023648,-9
-4023576,9
4023608,-9
-4023552,-14
64,23
4023584,-9
-4023512,9
4023544,-9
-4023488,-14
64,23
72,0
4023416,-9
-4023360,-14
4023456,14
-4023392,9
4023424,-9
-4023352,9
4023448,-9
-4023392,-14
4023424,14
64,0
-4023424,9
72,0
56,-23
4023360,14
-4023296,9
72,0
56,-23
4023232,14
192,0
-4023360,9
72,0
4023360,-9
-4023304,-14
64,23
4023304,-9
-4023232,9
4023296,-9
-4023240,-14
64,23
4023232,-9
-4023160,9
56,-23
64,23
4023104,-9
-4023032,9
56,-23
64,23
4022976,-9
-4022904,9
56,-23
64,23
4022848,-9
-4022776,9
56,-23
64,23
4022720,-9
-4022648,9
56,-23
64,23
4022592,-9
-4022520,9
56,-23
64,23
4022464,-9
-4022392,9
56,-23
4022400,14
-4022336,9
72,0
56,-23
4022272,14
-4022208,9
72,0
56,-23
4022144,14
-4022080,9
72,0
56,-23
4022016,14
-4021952,9
72,0
56,-23
4021888,14
-4021824,9
72,0
56,-23
4021760,14
-4021696,9
72,0
56,-23
4021632,14
-4021568,9
72,0
56,-23
4021504,14
-4021440,9
72,0
56,-23
4021376,14
-4021312,9
72,0
56,-23
4021248,14
-4021184,9
72,0
4021176,-9
-4021120,-14
64,23
72,0
4021048,-9
-4020992,-14
64,23
72,0
4020920,-9
-4020864,-14
64,23
72,0
4020792,-9
-4020736,-14
64,23
4021000,-9
-4020928,9
56,-23
4020928,14
-4020864,9
72,0
56,-23
4020800,14
-4020736,9
72,0
56,-23
4020672,14
-4020608,9
72,0
56,-23
4020840,14
-4020776,9
4020800,-9
-4020728,9
56,-23
4020832,14
-4020768,9
4020800,-9
-4020728,9
4020792,-9
-4020736,-14
4020832,14
48,0
-4020816,9
4020864,-9
-4020792,9
4020856,-9
-4020800,-14
64,23
4020800,-9
96,0
-4020824,9
56,-23
4020800,14
-4020736,9
4020808,-9
-4020736,9
4020808,-9
-4020752,-14
4020800,14
-4020736,9
4020808,-9
-4020736,9
4020808,-9
-4020752,-14
4020800,14
-4020736,9
4020800,-9
-4020728,9
56,-23
64,23
4020680,-9
56,0
-4020664,9
56,-23
64,23
4020608,-9
-4020536,9
56,-23
64,23
4020480,-9
-4020408,9
56,-23
4020416,14
-4020352,9
72,0
4020344,-9
-4020288,-14
64,23
4020288,-9
-4020216,9
56,-23
64,23
4020160,-9
-4020088,9
56,-23
4020096,14
-4020032,9
4020096,-9
-4020024,9
56,-23
64,23
4019968,-9
-4019896,9
56,-23
4019904,14
-4019840,9
72,0
4019832,-9
-4019776,-14
64,23
4019776,-9
-4019704,9
56,-23
64,23
4019648,-9
-4019576,9
56,-23
4019584,14
-4019520,9
72,0
56,-23
4019456,14
-4019392,9
72,0
4019384,-9
-4019328,-14
64,23
4019328,-9
-4019256,9
56,-23
4019264,14
-4019200,9
72,0
4019192,-9
-4019136,-14
4019200,14
-4019136,9
72,0
4019128,-9
-4019072,-14
64,23
4019072,-9
-4019000,9
56,-23
4019008,14
-4018944,9
4019104,-9
-4019032,9
4019064,-9
-4019008,-14
64,23
72,0
4018936,-9
-4018880,-14
64,23
72,0
4018808,-9
-4018752,-14
64,23
72,0
4018680,-9
-4018624,-14
4018688,14
120,0
-4018744,9
4018752,-9
-4018680,9
4018776,-9
-4018720,-14
4020992,14
-4020928,9
72,0
4020920,-9
-4020864,-14
4020936,14
-4020872,9
4020928,-9
-4020856,9
56,-23
4020888,14
-4020824,9
4020880,-9
-4020808,9
4020864,-9
-4020808,-14
4020864,14
-4020800,9
72,0
4020792,-9
-4020736,-14
4020808,14
-4020744,9
4020800,-9
-4020728,9
56,-23
4020736,14
-4020672,9
72,0
4020664,-9
-4020608,-14
64,23
4020912,-9
320,0
-4021160,9
4021312,-9
-4021256,-14
4021336,14
312,0
-4021584,9
4023792,-9
-4023720,9
4023760,-9
-4023704,-14
4023744,14
-4023680,9
4023760,-9
-4023688,9
56,-23
64,23
4023616,-9
-4023544,9
56,-23
4023552,14
-4023488,9
72,0
56,-23
4023424,14
-4023360,9
72,0
56,-23
4023296,14
-4023232,9
4023432,-9
80,0
-4023440,9
4023584,-9
24,0
-4023552,-14
-10090816,-2344
64,64
10056168,-5
-10056104,69
9984868,-21
-9984804,85
64,64
64,64
-6784,-6736
64,16
64,64
10048277,-54
-10048213,118
64,64
64,64
64,64
-4032,-4032
64,64
64,64
128,173
64,19
64,64
64,64
-256,-256
189040,-9
3772392,0
3800288,0
2208712,0
-9969536,929
64,40
64,64
64,64
9971324,-153
4896,95
-9976156,122
64,64
64,64
1856,1864
64,56
64,64
-1920,-1920
-768,-727
64,23
64,64
64,126
64,2
3072,3072
64,64
6336,6336
1408,1430
64,42
-1408,-1408
79172,-83
-78852,403
64,64
10090048,-832
-115796,107
-9973164,1813
77768,-1555
-78344,979
64,64
14106144,-12
-14106656,-500
576,576
64,64
10089416,-1536
4016632,1396
-4016576,-4
64,-1392
4016584,1396
-4016512,-1396
4016568,1396
80,0
-4016592,-4
4016728,4
72,0
-4016736,-1396
4016936,1396
-4050014,-1337
-49742,48
23002,-6497
-11328938,-2459
900,76871
1288080,-76534
2624,2624
10064562,5947
-44374,48
17418,-6497
-9849654,-3539
3769320,0
3800820,944
2209204,-944
3240,944
7628,95
119060,8890
-31660,59
-33352,48
6607,-6497
-6081459,-3539
6009000,0
4956,944
8848,95
82552,8949
-64680,48
41291,-6497
-9852655,-3539
3770344,0
6009000,0
2900,944
5556,95
45620,8997
19582,-6497
6,63
-9854064,-3602
3771368,0
6010024,0
53088,1088
77184,9569
-33514,-669
-53130,48
27548,-6497
-9853400,-3539
3772392,0
3800544,0
2208456,0
3656,944
6740,95
4424,8997
58942,-6497
-9855746,-3539
9787348,944
9156,95
-9981848,1891
64,23
64,64
-43924,-2073
112,95
640,41
213,76871
44751,-73132
64,54
10096512,5056
-35482,59
-74074,48
52746,-6497
-9853774,-3539
3770344,0
1360,944
6007640,-944
2064,944
4596,95
91218,8949
-50754,48
27416,-6497
-9856260,-3539
3772392,0
6009000,0
4236,944
6988,95
86880,8949
-51876,48
28897,-6497
-9855501,-3539
9781392,0
3124,944
6884,95
120616,8890
-35730,59
-76010,48
55751,-6497
-9856499,-3539
9608,944
18420,95
9753364,-1039
1660,944
4428,95
38084,8997
31214,-6497
-9857178,-3539
3772392,0
6009000,0
44576,1088
44634,2451
-9870290,-3539
3772392,0
6009000,0
-10010010,77951
2,0
10141248,-67294
-33050,-669
-45914,48
23318,-6497
-9857234,-3539
9781392,0
4424,944
7472,95
77851,2500
-9859327,-2595
21600,95
9879532,8890
-36082,59
-78562,48
59596,-6497
8,63
-9856232,-3602
3770344,0
6011160,944
4180,95
15720,8997
55181,-6497
-9855329,-3539
3769320,0
6010024,0
98048,9988
-40524,48
18690,-6497
-9856358,-3539
9784072,944
8072,95
118744,8890
-116516,107
76210,-6497
-9870966,-3539
3770344,0
6009000,0
-10009325,77951
10108653,-67963
-39468,48
12264,-6497
20,63
-9852016,-3602
10432,944
21236,95
9749724,-1039
3668,944
8188,95
35156,8997
31188,-6497
-9860112,-3539
9781392,0
3400,944
7084,95
120500,9618
-34932,-669
-64504,48
47212,-6434
-9857768,-3602
2084,944
10548,95
9863190,8949
-56122,48
-9821396,-10036
9781392,0
2232,944
6424,95
4137704,9629
-4016000,-739
-32264,59
-34452,48
18174,-6497
-83362,-3539
5420,944
8724,95
82962,8949
-62326,48
45431,-6497
-9860995,-3539
9784080,944
5772,95
87418,8949
-69146,48
53036,-6497
8,63
-9860112,-3602
3771368,0
3800780,944
576,95
2208668,-1039
1064,944
5108,95
124140,8890
-32714,59
-38610,48
20698,-6497
-9853262,-2595
17380,95
9759648,-95
8264,95
34144,8997
34026,-6497
-9861342,-3539
6088,944
14772,95
7551060,-95
576,95
2208896,-1039
9600,1039
88380,8949
-35112,48
17489,-6497
-9863061,-3539
3773624,944
3980,95
6008868,-95
8656,95
118008,9618
-34378,-669
-56298,48
40737,-6497
-9860101,-3539
9779344,0
2428,944
6404,95
85722,8949
-75702,48
62079,-6497
-9861899,-3539
3771368,0
6010024,0
416,944
4460,95
125460,8890
-61148,107
11654,-6497
-9852638,-2595
20416,95
9755448,-95
9264,95
85000,8949
-29480,48
12665,-6497
-9862653,-3539
9785180,944
91930,9044
-55418,48
-9822020,-10036
7572040,944
2217992,95
121840,8890
-111716,107
62972,-6497
-76740,-2500
40288,8997
40946,-6497
-9865518,-3539
9781756,944
6948,95
35872,49
11780,8948
24954,-6497
2,63
-70644,-2563
119156,9618
-66964,-621
18785,-6497
13757,6449
-54670,48
41865,-6497
-9854901,-2595
20660,95
9753132,-95
6580,95
32668,49
89152,8841
-32452,59
-32296,48
17830,-6497
6,63
-9866520,-3602
9786724,944
8948,95
82652,8949
-61512,48
50017,-6497
-9863661,-3539
9781312,944
5876,95
4,0
50692,8997
25860,-6497
-9864248,-3539
9791736,1039
119104,8890
-112316,107
66232,-6497
-86396,-3539
15460,10036
71294,-6497
-10052266,694
64,64
64,69
64,59
10006652,5611
45509,-6497
-11344197,-2459
849,76871
11389043,-67294
4015680,11
-4048750,-680
-37686,48
-9839380,-10036
9782892,944
8384,95
82552,8949
-73304,48
64002,-6497
-84398,-2595
4668,95
125404,8890
-34130,59
-48642,48
37211,-6497
-9865551,-3539
9779344,0
3656,944
7188,95
85442,8949
-63514,48
54006,-6497
-2294670,-2500
2210376,-95
5660,95
55108,8997
23826,-6497
18,63
-9867096,-3602
9793224,1039
118616,8890
-65708,107
21352,-6497
-82664,-2595
8884,95
35316,8997
38587,-6497
1,63
-21404,6434
65692,621
4015552,11
-4049944,-680
-50116,48
41569,-6497
-9867069,-2595
